text,employment
"데이터 사이언스에 대한 흥미는, 저의 능동적인 탐구와 자연어처리 분야에 대한 프로젝트 경험으로부터 시작되었습니다. 언어학을 전공으로하고 있는 저는, 언어학과 융합 시킬 수 있는 유망한 분야가 무엇인지 살펴보았고, 이는 자연스럽게 자연어처리에 대한 관심으로 이어졌습니다. 이후 자연어처리 프로젝트를 통해 언어의 복잡성을 데이터로 다루고 분석하는 과정에서, 데이터의 힘과 그 분야의 무한한 가능성을 깨닫게 되었습니다. 

또한, 프로젝트 이후 참여한 빅데이터 분석 공모전(빅콘테스트)에서의 대상 수상 경험은 제 능력을 확인할 수 있는 중요한 계기가 되었습니다. 데이터 수집부터 전처리, 그리고 가중치를 위한 모델 구성까지 직접 구현해 보고, 해당 결과를 QGIS로 시각해 보는 과정을 겪으며 팀원들과의 협업, 그리고 데이터의 중요성을 확실하게 깨닫을 수 있었습니다. 

저는 위 두 과정을 거치며 해당 분야에 대한 지식이 많이 얕다는 저의 한계를 발견함과 동시에 공부를 하면 할 수록 흥미롭다는 생각을 가지게 되어, 제가 앞으로 나아가야 할 방향에 대한 확신을 가지게 되었습니다. 이에 평소 추천 알고리즘에 대해 많은 궁금증을 가지고 있었던 저는 이와 관련하여 깊게 공부를 하고자 하는 목표를 세우게 되었고, 현재는 실무 데이터 지식을 쌓기 위해 현재 대학 내에서 진행하는 GTEP 무역전자상거래실습 활동을 통해 전자상거래 데이터 분석을 도맡아 진행하며, 관련 분야에 대한 실무 데이터를 다뤄보고 있습니다. 

상대적으로 관련 전공생들에 비해 해당 분야에 대한 전공 지식을 습득할 기회가 많지 않은 저는, 탄탄한 커리큘럼 속에서 제가 좋아하는 분야에 대한 공부를 심화적으로 진행해 보고 싶다는 생각에 TECHIT에 지원을 하게 되었습니다. 저는 제가 좋아하는 분야에 대한 공부를 깊게 하며, 실무 역량을 키우고자 하는 강한 의지를 가지고 있기에 TECHIT에서의 교육과 경험을 통해 제 역량을 최대한 발휘하여 저의 동기와 목표를 실현시키고 싶습니다. ",
"대학교 4학년 여름방학 때 한국전자통신연구원에서 인턴으로 일 한 경험이 있습니다.
농축수산지능화연구소에서는 AI/데이터사이언스 기술을 활용한 프로젝트들을 많이 하였는데 그중에서 인공지능 아크 신호 처리기 개발 프로젝트에 참여하게 되었습니다. 프로젝트에서는 인공지능 모델 개발에서 데이터 전처리와 학습한 모델의 결과를 나타내는 시각화를 부분을 맡았습니다. 프로젝트를 진행하면서 저의 미흡한 부분들이 너무 많았습니다. 이를 조금이라도 줄이고자 도서관에서 책을 빌려서 보기도 하고, 인터넷에서 자료들을 찾아보았습니다. 그 결과 성공적으로 프로젝트를 마무리할 수 있었습니다.

저는 한국전자통신연구원에서의 경험이 다른 분야도 이렇겠지만 AI/데이터사이언스 분야에 관한 일을 하고 싶게 만들었고, 취업을 하고 싶습니다. 하지만 저의 지식이 너무나 미흡하고, 부족하기 때문에 TECH!T AI스쿨에서 경험과 지식을 더 쌓고 싶습니다. 뽑아주시면 정말 열심히 하겠습니다!!",
AI와 데이터를 이용하여 여행맵을 추천해주는 프로그래밍을 하고 싶어 관련 교육을 알아보다가 지원하게 되었음,
"전공을 살린 취업자리를 알아봤지만 여러모로 쉽지 않고 막막하다고 느꼈습니다.
그래서 다른 일을 할 수 있는 게 무엇이 있을까 찾아보다가 AI로 눈을 돌리게 되었습니다.
최근에 가장 이슈가 되고 있는 분야 중 하나라고 생각되고, 미래도 유망하다는 생각이 들었습니다.
음악쪽에서도 음원과 보컬의 분리라던가, AI를 이용해서 작곡을 하려는 시도가 있었다보니 AI가 낯설지 않았던 것 같습니다.
또한 정부의 지원을 받으면서 공부 할 수 있는 방법이 많아 부담을 가지지 않고 도전해볼 수 있다는 점도 좋았습니다.

AI를 다루는 부분은 아직 잘 모르지만, AI를 다루기 위해서 파이썬을 많이 사용한다고 하여서 파이썬 기초에 대해서 공부했으며, AI 관련해서도 미리 조금 공부하고 있습니다.",success
"AI/데이터 사이언스 분야에 관한 관심은 친구의 영향을 받아서 시작되었습니다. 친구는 비전공자임에도 불구하고 열정적으로 훈련받아 현업에서 성공적으로 활동하는 모습을 보여주었습니다. 이를 통해 전공과 관계없이 열정과 노력으로 실력을 키워 현업에서 일할 수 있다는 가능성을 알게 되었고, AI/데이터 사이언스 분야의 열린 문을 발견하게 되었습니다.

독학으로 파이썬과 텐서플로우를 사용하여 딥러닝 모델에 관해 공부하고 있습니다. 이를 통해 데이터 처리와 분석, 머신 러닝 및 딥 러닝 알고리즘을 학습하고 실제 데이터셋에 적용하며 문제를 해결해보았습니다. 이 과정에서 직접 모델을 구현하고 결과를 평가해보는 것이 얼마나 보람찬 일인지를 체험하였습니다. 하지만 실제 현업에서 사용되는 방법과 포트폴리오 제작의 방향에 대해 독학은 한계가 있다고 생각합니다. 강의와 협업을 통해 이러한 부분을 배워나가기 위해 AI스쿨에 지원하게 되었습니다.",success
"처음 인공지능에 대해 관심을 가지게 된 이유는 알파고입니다. 학창시절 알파고와 이세돌의 바독 경기를 보며 인공지능에 대해 처음 접하게 되었고 이세돌을 압도하는 알파고의 여러 능력은 저에게 있어 매우 신선한 충격이었습니다. 또한, 최근 주목을 받은 chat GPT를 사용해보면서 인공지능에 대한 관심이 더욱 커졌습니다. 평범한 질문부터 자기소개서 그리고, 간단한 코드까지 직접 작성해 주는 chat GPT를 보며 이제는 AI의 시대가 왔다 느껴 AI 관련 개발자라는  진로에 대해 확신이 들었습니다. 이러한 저의 확신에 이번 AI스쿨이 많은 도움이 될 것 같아 지원을 결심했습니다. 관련 학습 경험으로는 작년 겨울에 학교에서 진행하는 프로그램에 선정되어 numpy와 pandas에 대해 조금 배운 적이 있습니다.",
"  중학교 재학시절부터 관심이 꾸준히 있었습다. 대학교는 다른 전공으로 들어오긴 했으나 AI와 관련된 수업을 참여하며 흥미가 더욱 생겼고 제가 하고 싶은 공부임을 알게 되었습니다. 
 선형대수학에 대한 과목을 수강하였고 좋은 성적도 받았습니다. AI와 관련된 수업은 비교적 적게 수강하였지만 미흡한 점을 보완하고자 스스로 힉습한 경험이 있습니다. 그리고 matlab, labview, python 등 여러 프로그램을 사용해보았고 이를 통해 프로젝트를 진행해본 경험 또한 있습니다.
 AI관련된 학습 경험은 인공지능의 수학적 알고리즘과 이미지 처리 알고리즘을 수업을 통해 학습했습니다. 해당 수업 프로젝트로 yolo5 모델을 통한 동전분석 프로그램을 만들어보았습니다.",
"방학중 학교를 통해 신청한 ADsP, SQLD 자격증 교육을 받으며 데이터 공부에 흥미를 가지게 되었고, 학기 과목 중 데이터마이닝이라는 과목을 수강하는데 있어 기초가 부족하려 어려움이 생겨 관심을 가지게 되었습니다.",
"수학과인 내가 취업을 한다면 어느 분야에 경쟁력이 있을까 고민하게 되었습니다.
고민하다가 알게된 것이 인공지능 분야이고 공부해보고 싶은데 어디서부터 어떻게 시작을 해야할지 몰라 고민을 하다가 예전부터 봐온 멋쟁이 사자처럼에서 공부를 해보고 싶다 생각해서 지원하게 되었습니다.
인공지능 분야에 대해 공부를 해본적은 없고 간단한 코딩을 통해 수학문제를 풀곤 했습니다.(프로젝트 오일러 사이트에서 sage를 통해 문제를 풀곤했습니다.)",
"전공을 통계학으로 선택하게 되면서 자연스럽게 AI/데이터사이언스 분야에 관심을 가지게 되었습니다. 학부때는 AI보다는 기존 통계방법론에 관해 학습하였고, 대학원에 진학하여 AI/데이터사이언스에 대해 공부하였습니다. 그러나 AI/데이터사이언스에 관해서 좀 더 실습해보고 싶은 마음에 본 교육에 지원하게 되었습니다.",
